GUID	索引	Name	Type
9a14b8cf-85f4-4f91-bdf6-87ced3034ac6	00	交班對點頁面	1072
6a446c5a-9c5e-44f9-ad6d-e47af7b9041e	01	交易紀錄查詢頁面	19505
a8262a77-b3c4-4a70-b1ef-3bf4742af5d1	02	藥品資料頁面	19505
35e791c1-2d90-49f4-b458-d054ab221a96	03	交班對點功能	1073
a5711ac1-c2bf-4974-8781-9e3171bfebde	04	人員資料頁面	19505
97e3bf3b-10d3-40d9-bbf5-7abd31768af9	05	儲位管理頁面	19505
1fcf90b6-9fdc-46b6-b7db-323464bc450e	06	工程模式頁面	19505
bbb0968a-f2e5-4ee2-bc94-62913a973ffa	07	藥品資料更動	19518
bafe4b9f-b339-4a65-9135-2a380425ae2d	08	管制結存表匯出	1072
bfa402e3-94f0-42d5-a24f-7a3fb56e95d1	09	管制結存表列印	1072
0ff9ea52-4037-4c12-85ab-682f42072785	10	None	0
cd96c500-83b9-4aeb-ae08-bc6024490cad	11	儲位刪除	19480
b8b2990e-1b1b-49dd-ab3e-74743a1f1c24	12	儲位庫存效期異動	19476
99e5af63-02ce-43e9-ba3e-a2d33dd1d61a	13	面板資訊更改	19508
eaed9c14-43a0-426c-9764-c10f58157a21	14	人員基本資料更動	19518
0ad12481-b32c-447b-b8db-fc8eba98ff37	15	儲位效期表	19489
f42dfe74-d993-483d-a390-5f6472daf616	16	儲位總庫存表	19489
a60d1d21-035c-42cd-b29c-a9a40d5975a4	17	權限內容更動	19509
a12e8a32-d970-4366-abee-69ceacd92daf	18	None	0
b7f04a18-6e2e-4cc3-a516-d6682dd844e9	19	線上更新	19472
59d01441-26b6-4696-bf13-be30f3edbe84	20	批次領藥權限	1041
4cadaf79-f681-4844-96f8-2b1289d07271	21	藥品群組修改	19508
ceae5faa-9f88-47aa-af3d-d0c9cda2019a	22	醫囑資料頁面	1041
39d78e0f-b5c7-4cd0-aecb-0e937ac571cc	23	批次過帳頁面	2065
0539bb04-cc33-4b36-872b-ebcc1c2fcb24	24	藥庫頁面	2065
0f62fb7a-df6a-4a5a-94db-3ed79e5ac238	25	藥局頁面	2065
c8995450-6785-4669-ad5b-30b35a41b3d4	26	盤點作業頁面	3121
1116abfc-e6c5-4576-80e9-ac752a68edc9	27	盤點報表下載	3121
47a35782-f0f6-4738-ab39-f56ae552b02f	28	盤點報表鎖定	3120
0359f189-15ca-411f-8815-af5d8e3ff6da	29	盤點報表刪除	3120
508e8dd3-a3ab-432b-9d98-d4bdf6f02e3b	30	周面設備頁面	2097
48602163-d3a2-48f7-a332-c43f551163c4	31	戰情白版設定	2099
2369bfb0-b54a-4bc8-82a9-a0bb02334a9e	32	收支作業頁面	3120
50494163-6b73-4385-a691-270d263dee0f	33	入庫功能	3120
6bf8ddf4-98ab-4dd5-b69a-01e1b3938ff8	34	出庫功能	3120
f0a22027-25b8-44e4-a2d4-ec9d4bd9817f	35	調入功能	3120
b9e1c464-c340-4fdc-a241-4e837e8bddbf	36	調出功能	3120
8149f241-9689-475f-bfd9-e574aa1c2bb1	37	收支原因維護	1072
214114d3-0746-4594-95f9-a5ad1df850b9	38	交易紀錄匯出	3120
404f04bd-206e-4f40-a37f-9b22e1f5490e	39	管制藥設定	1072
96e88926-de69-47d0-b086-3eafad3d469e	40	None	0
7ccb0aee-58dd-4b38-9ce0-eedd19a3e2a7	41	None	0
8dc73074-ade4-4b63-b545-82f25180d175	42	None	0
ed892cde-3f7b-4afd-984b-a31c897e6014	43	None	0
124c252e-7460-4645-be2b-626a18a9a300	44	None	0
5d859462-ff97-46e5-bbed-373bc2737e81	45	None	0
06661b8c-1128-4931-b1c7-672a30fad4cd	46	None	0
3b74300b-c921-4aab-a181-1c98b944602e	47	None	0
00a78886-5673-4ff6-a1cc-925c16422b3b	48	None	0
539a9c78-16bd-4a06-86ec-ca02ca8bfae7	49	None	0
aadfaef8-d933-4441-b144-c62ce618d931	50	None	0
e30e9e75-ec4a-49e8-9f79-8010146bd2bc	51	None	0
dc2c46a9-ae8c-4bea-a98a-95e6eeffdd6c	52	None	0
19569e9f-d7f9-42c2-8a91-1ff5c9888dcd	53	None	0
1cbe7163-a54b-41f2-a9b7-9272a0fa7b59	54	None	0
151f7dad-2867-488c-8ae0-a7c98622e5a6	55	None	0
cc88c279-da85-4ba6-88e5-495d1370277d	56	None	0
9b8df9b0-1b9e-44db-a221-e13c6ba85e8c	57	None	0
874390f0-6db0-44df-a5f6-b05d7b99c1c0	58	None	0
b207bddd-9e5e-454f-9090-108b68105db7	59	None	0
1d70e8ad-9d31-487d-a786-69fd801f96a4	60	None	0
3d8792dd-26f5-4e7c-9a4d-8c5c3c4f48e8	61	None	0
c5177da9-9d5e-44aa-b210-9386693b0c25	62	None	0
5b4fe3c1-c3f8-4481-8d42-7ce42263564c	63	None	0
205412ef-2bc3-46ba-9824-47e58892baf5	64	None	0
9dc0072a-85e4-4a39-a103-88ff7ef639ed	65	None	0
016d71c9-fc68-4b54-94b3-ddb9469eed15	66	None	0
c3847377-1d73-40ca-be78-61682c7b5c9a	67	None	0
73d47fb2-0212-4a79-bcb3-b1fe13deb4ea	68	None	0
10f41491-9d1e-494d-82c1-93196fd734b5	69	None	0
6103cb35-388b-43ca-a921-20a25953d619	70	None	0
c2ab1c7b-9225-4c0d-9eba-baa7788defc2	71	None	0
a083bcc0-7674-4f50-898f-6b2297a99eef	72	None	0
5736ff8a-aedd-443e-8577-ff73796a55eb	73	None	0
1d3669ce-8255-4d2f-9f90-477caef1721b	74	None	0
6e14314e-7e11-4292-9912-9580b4b9ee7c	75	None	0
239f5f1a-52f7-4033-add0-21fd6607306e	76	None	0
e2e8e308-49a2-4e28-a045-3185c2867ce8	77	None	0
c7fbbc72-44e8-4346-a56b-f1d9ebadbf6c	78	None	0
cbf9de6e-6e07-46b7-a4f8-e5b9141e2ab9	79	None	0
9f355d5d-3cfd-4d3a-83f9-9e723a6e317b	80	None	0
635e9131-e0bf-4366-9e77-3b9d838bfe44	81	None	0
77f65c26-1d2e-4718-9a4d-4b32ee60d84e	82	None	0
